policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,6,2,0,5,47.5284186782319,19.756628897140313,95.0568373564638,168.98701157751634,275.7095246665216,0.0,0.4083769633507853,0.0,0.0,0.0,0.0,0,0,0.0,1044.8176265270506,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,6,2,0,5,83.7565209556222,84.99120979301316,167.5130419112444,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.014527253352410471,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,2,0,5,84.9837458739836,84.99120979301316,169.9674917479672,107.70952466652157,107.70952466652157,0.0,1.0,1.5706806282722514,9.424083769633508,67.38219895287959,8.78198939364937e-05,0,6,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,2,0,12,96.28373157534851,96.38615990021734,192.56746315069702,63.241851294929724,63.1978722373381,1.0,0.9986910994764397,0.9424083769633509,5.654450261780105,40.42931937172775,4.8990529347512537e-05,0,2,0.0,0.62489092495637,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,2,0,12,96.38143789122205,96.38615990021734,192.7628757824441,63.19787223733811,63.1978722373381,1.0,1.0,0.9424083769633509,5.654450261780105,40.42931937172775,4.8990529347512537e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
two_timescale,6,2,0,12,96.31630034730635,96.38615990021734,192.6326006946127,63.307819881317165,63.1978722373381,0.9991273996509599,0.9991273996509599,0.9424083769633509,5.654450261780105,40.42931937172775,4.8990529347512537e-05,0,2,0.0,1.8746727748691099,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
