policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,10,1,1,5,49.58083092883618,32.67716415419338,49.58083092883618,222.80070460916292,311.4771443997388,0.0,0.2181500872600349,0.0,0.0,0.0,0.0,0,0,0.0,1776.7731966259453,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,10,1,1,5,108.51177731638609,110.16357264915597,108.51177731638609,160.27714439973883,160.27714439973883,0.0,1.0,13.507853403141363,135.07853403141362,579.4869109947645,0.014994024731119021,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,10,1,1,5,110.13022695910165,110.16357264915597,110.13022695910165,160.27714439973883,160.27714439973883,0.0,1.0,3.455497382198953,34.55497382198953,148.2408376963351,0.00030269252578183373,0,4,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,10,1,1,14,158.83236716492982,158.84532194993616,158.83236716492982,71.2538395413719,71.2538395413719,1.0,1.0,0.9424083769633509,9.424083769633508,40.42931937172775,8.155597437369052e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
