policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
conveyor,10,1,1,22,108.55019116133423,110.16357264915597,108.55019116133423,160.27714439973883,160.27714439973883,1.0,1.0,13.193717277486911,131.9371727748691,566.0104712041885,0.014645326481558111,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=22; planes_eclipse_free=0
eph,10,1,1,22,110.13325838547021,110.16357264915597,110.13325838547021,160.27714439973883,160.27714439973883,1.0,1.0,3.141361256544503,31.41361256544503,134.76439790575918,0.0002751750234380307,0,4,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=22; planes_eclipse_free=0
eph_compact,10,1,1,43,158.83668542659862,158.84532194993616,158.83668542659862,71.2538395413719,71.2538395413719,1.0,1.0,0.6282722513089005,6.282722513089006,26.952879581151834,5.4370649582460354e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=43; planes_eclipse_free=0
eph_freeness,10,1,1,43,158.83668542659862,158.84532194993616,158.83668542659862,71.2538395413719,71.2538395413719,1.0,1.0,0.6282722513089005,6.282722513089006,26.952879581151834,5.4370649582460354e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=43; planes_eclipse_free=0
