policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,5,1,0,5,51.59117237917147,20.452935108970546,51.59117237917147,157.01788151332195,262.56761973321727,0.4467713787085515,0.4467713787085515,0.0,0.0,0.0,0.0,0,0,0.0,887.3451134380454,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,5,1,0,5,88.84996915340099,90.14906774891244,88.84996915340099,94.56761973321726,94.56761973321726,1.0,1.0,13.507853403141363,67.53926701570681,579.4869109947645,0.014410560507733334,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,5,1,0,5,90.1439074708897,90.14906774891244,90.1439074708897,94.56761973321726,94.56761973321726,1.0,1.0,1.256544502617801,6.282722513089006,53.90575916230367,5.7241612715411824e-05,0,5,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,5,1,0,14,100.46310149139768,100.4671929777964,100.46310149139768,58.11193460806759,58.111934608067585,1.0,1.0,0.9424083769633509,4.712041884816754,40.42931937172775,4.0724601508753205e-05,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
