policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,6,6,0,5,53.3450318490275,19.756628897140313,320.07019109416495,153.93762239776066,275.7095246665216,0.0,0.4975276323443863,0.0,0.0,0.0,0.0,0,0,0.0,788.126321019973,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
reactive_jit,6,6,0,5,34.187540417345886,32.06060979198803,205.12524250407535,182.12331175203641,191.7095246665216,0.0,0.9997091332169866,12.565445026178011,75.39267015706807,1462.6178010471206,0.10577261264052494,0,3,0.9284952491758774,0.13886464999030446,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
llumnix_reactive,6,6,0,5,35.113763749103185,32.06060979198803,210.68258249461914,174.37139203126853,185.40952466652158,0.0,1.0,6.282722513089006,37.696335078534034,269.52879581151836,0.0003304057756119745,0,4,0.8868285825092107,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,6,6,0,5,64.37539017146914,25.990702117632928,386.2523410288148,128.8231372319666,183.30952466652158,0.0,0.6666666666666666,13.507853403141363,81.04712041884817,579.4869109947643,0.014527253352410473,0,1,0.0,399.9996242970719,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,6,0,5,54.570216129746775,19.756628897140313,327.4212967784806,155.00289290386888,275.7095246665216,0.0,0.5135253054101222,0.837696335078534,5.026178010471204,35.93717277486911,4.443294400464997e-05,0,4,0.0,824.0228330424665,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,6,0,12,95.90816105082948,96.38615990021734,575.4489663049768,63.58513227224211,63.1978722373381,0.9962187318208261,0.993891797556719,4.397905759162304,26.387434554973822,188.67015706806285,0.00022862247028839186,0,2,0.0,5.762882974597635,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,6,0,12,96.25729705171467,96.38615990021734,577.543782310288,63.37134518672728,63.1978722373381,0.9984002326934264,0.9984002326934264,1.8848167539267018,11.30890052356021,80.8586387434555,9.798105869502509e-05,0,2,0.0,2.777292999806089,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
two_timescale,6,6,0,12,96.31341467514257,96.38615990021734,577.8804880508553,63.28949527398732,63.1978722373381,0.9991273996509599,0.9991273996509599,1.5183246073298429,9.109947643979059,65.13612565445027,7.892918617099242e-05,0,2,0.0,1.4580788248981966,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
