policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,12,1,1,5,43.413082232440715,30.547148468712255,43.413082232440715,249.08451447577153,320.96095426634747,0.0,0.1273996509598604,0.0,0.0,0.0,0.0,0,0,0.0,2133.377617801047,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,12,1,1,5,96.91422802484458,98.41280012294466,96.91422802484458,186.56095426634747,186.56095426634747,0.0,1.0,13.507853403141363,162.09424083769633,579.4869109947646,0.0152274104204733,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,12,1,1,5,98.3421905353906,98.41280012294466,98.3421905353906,186.56095426634747,186.56095426634747,0.0,1.0,6.910994764397906,82.93193717277488,296.4816753926703,0.0007174837771697166,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,12,1,1,14,140.93601599511473,140.95442914293983,140.93601599511473,88.4237281266931,88.4237281266931,1.0,1.0,1.256544502617801,15.078534031413614,53.90575916230368,0.0001306319208061504,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
