policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,4,1,0,5,47.36010858828582,17.049156366538096,47.36010858828582,143.87597658001766,249.42571479991295,0.49214659685863876,0.49214659685863876,0.0,0.0,0.0,0.0,0,0,0.0,709.8760907504363,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,4,1,0,5,77.5143842907343,78.63843162562122,77.5143842907343,81.42571479991294,81.42571479991294,1.0,1.0,13.507853403141363,54.03141361256545,579.4869109947645,0.014293867663056195,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,4,1,0,5,78.63489768375904,78.63843162562122,78.63489768375904,81.42571479991294,81.42571479991294,1.0,1.0,1.256544502617801,5.026178010471204,53.90575916230367,4.4939119322856295e-05,0,4,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,4,1,0,14,84.30007974709356,84.30282660634683,84.30007974709356,54.083950956050685,54.083950956050685,1.0,1.0,0.9424083769633509,3.7696335078534036,40.42931937172775,3.2583240252208694e-05,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
