policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
conveyor,6,4,0,5,81.8021853417919,84.99120979301316,327.2087413671676,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,1.3834097855028271,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,4,0,5,58.662683910771705,19.756628897140313,234.65073564308682,146.55952466652158,275.7095246665216,0.0,0.5815881326352531,1.7277486910994766,10.36649214659686,74.12041884816755,0.00029434278818654306,5658,1,0.0,665.1963896160559,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,4,0,12,75.5614382778454,20.31490809122836,302.2457531113816,98.22719160906586,231.19787223733812,0.7578534031413613,0.7222949389179756,2.984293193717278,17.905759162303667,128.02617801047123,0.0005084102705040289,4818,1,0.0,597.6040212332751,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,4,0,12,68.6448184088174,20.31490809122836,274.5792736352696,109.93295077136952,231.19787223733812,0.6771378708551483,0.6291448516579407,0.0,0.0,0.0,0.0,11076,2,0.0,797.3608202443281,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
