policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,14,1,1,5,40.01201075720642,29.369628082484937,40.01201075720642,249.10650400456734,304.16095426634746,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0,0,0.0,2489.982038976149,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,14,1,1,5,51.05695686408093,51.858734179747756,51.05695686408093,195.69393855954118,203.36095426634748,0.0,0.0,13.507853403141363,189.10994764397907,579.4869109947646,0.015460796109827578,0,1,0.0,519.0760616637581,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,14,1,1,5,44.874850429416874,28.072161002757213,44.874850429416874,242.08451447577153,304.16095426634746,0.0,0.15270506108202445,318.848167539267,4463.874345549739,13678.58638743456,0.039127249988003654,0,1,0.0,2164.6221640488657,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,14,1,1,14,131.40775136111793,131.42779706287422,131.40775136111793,96.4796954307269,96.4796954307269,1.0,1.0,1.256544502617801,17.591623036649217,53.90575916230368,0.0001525225424473801,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
