policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,6,1,0,5,47.07302893375809,19.756628897140313,47.07302893375809,170.1597864466263,275.7095246665216,0.0,0.4013961605584642,0.0,0.0,0.0,0.0,0,0,0.0,1064.8141361256544,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,6,1,0,5,83.7565209556222,84.99120979301316,83.7565209556222,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.014527253352410471,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,1,0,5,84.9837458739836,84.99120979301316,84.9837458739836,107.70952466652157,107.70952466652157,0.0,1.0,1.5706806282722514,9.424083769633508,67.38219895287959,8.78198939364937e-05,0,6,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,1,0,14,94.09814380131208,94.10274573919871,94.09814380131208,71.2538395413719,71.2538395413719,1.0,1.0,0.9424083769633509,5.654450261780105,40.42931937172775,4.890333273996215e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
