policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,15,1,1,5,38.722224685403624,28.814267129659406,38.722224685403624,249.10650400456734,295.7609542663474,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2667.4510616637576,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,15,1,1,5,50.196750035672345,50.99106275247752,50.196750035672345,204.09393855954121,211.76095426634748,0.0,0.0,13.507853403141363,202.61780104712042,579.4869109947646,0.015577488954504715,0,1,0.0,996.4927283304247,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,15,1,1,5,36.86662451234499,27.44718101983948,36.86662451234499,249.01121604645215,295.7609542663474,0.0,0.0,360.0,5400.0,15444.000000000005,0.047444764208933995,0,1,0.0,2661.6187463641654,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,15,1,1,14,127.11081817324211,127.13160010299346,127.11081817324211,100.5076790827438,100.5076790827438,0.0,1.0,1.256544502617801,18.848167539267017,53.90575916230368,0.00016346785326799498,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
