policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,6,2,0,5,47.585342396291125,19.756628897140313,95.17068479258225,168.76345136809226,275.7095246665216,0.0,0.40924956369982546,0.0,0.0,0.0,0.0,0,0,0.0,1040.859984002327,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=6
conveyor,6,2,0,5,83.7565209556222,84.99120979301316,167.5130419112444,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.014527253352410471,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=6
eph,6,2,0,5,84.98449226588656,84.99120979301316,169.96898453177312,107.70952466652157,107.70952466652157,0.0,1.0,1.4136125654450262,8.481675392670157,60.64397905759162,7.903790454284432e-05,0,6,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=6
eph_compact,6,2,0,12,95.80573272596065,96.38615990021734,191.6114654519213,63.98216543105538,63.1978722373381,0.9925828970331588,0.9925828970331588,5.340314136125655,32.04188481675393,229.09947643979058,0.0002776129996359044,0,2,0.0,12.4978184991274,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=6
eph_freeness,6,2,0,12,95.8228170496821,96.38615990021734,191.6456340993642,63.91253192320198,63.1978722373381,0.9925828970331588,0.9925828970331588,5.340314136125655,32.04188481675393,229.09947643979058,0.0002776129996359044,0,2,0.0,12.4978184991274,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=6
two_timescale,6,2,0,12,96.38615990021734,96.38615990021734,192.77231980043467,63.19787223733811,63.1978722373381,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=6
