policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,10,1,1,5,51.20358293920189,32.67716415419338,51.20358293920189,219.25794719205993,294.67714439973884,0.0,0.23909249563699825,0.0,0.0,0.0,0.0,0,0,0.0,1676.388888888889,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=8
reactive_jit,10,1,1,5,106.33868341234134,110.16357264915597,106.33868341234134,160.2771443997388,160.27714439973883,0.0,1.0,12.986559609006807,129.86559609006807,1172.9376854599404,0.04872130059818592,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=8
llumnix_reactive,10,1,1,5,110.10167944410162,110.16357264915597,110.10167944410162,160.2771443997388,160.27714439973883,0.0,1.0,6.493279804503404,64.93279804503403,278.56170361319596,0.0005618300456854236,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=8
conveyor,10,1,1,5,108.49897270140337,110.16357264915597,108.49897270140337,160.2771443997388,160.27714439973883,0.0,1.0,13.614941525571652,136.14941525571652,584.0809914470238,0.015110257480972656,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=8
eph,10,1,1,5,110.1369548237748,110.16357264915597,110.1369548237748,160.2771443997388,160.27714439973883,0.0,1.0,2.7229883051143307,27.229883051143304,116.81619828940477,0.00024162093458903505,0,5,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=8
eph_compact,10,1,1,14,157.79496292008156,158.84532194993616,157.79496292008156,71.93795821501936,71.2538395413719,0.9918557300756253,0.9918557300756253,5.864897887938558,58.64897887938558,251.60411939256414,0.0005074593961029633,0,2,0.0,19.444444444444446,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=8
eph_freeness,10,1,1,14,158.23935910779423,158.84532194993616,158.23935910779423,71.57635263037714,71.2538395413719,0.995346131471786,0.995346131471786,3.770291499389073,37.70291499389073,161.7455053237912,0.0003262238974947621,0,2,0.0,9.166666666666666,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=8
two_timescale,10,1,1,14,158.84532194993616,158.84532194993616,158.84532194993616,71.2538395413719,71.2538395413719,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=8
