policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,20,1,1,5,47.0546056191709,47.0546056191709,47.0546056191709,249.10650400456734,262.16095426634746,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3554.7961751018033,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,20,1,1,5,46.29415834095538,47.0546056191709,46.29415834095538,246.09393855954116,253.76095426634748,0.0,0.0,13.507853403141363,270.15706806282725,579.4869109947646,0.016160953177890406,0,1,0.0,3383.5760616637576,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,20,1,1,5,44.053334383520166,44.053334383520166,44.053334383520166,249.07718463283962,262.16095426634746,0.0,0.0,360.0,7200.000000000001,15444.000000000005,0.06378273064152427,0,1,0.0,3553.12979930192,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,20,1,1,14,178.98225771176178,179.0213956365182,178.98225771176178,113.64958401604811,113.64958401604811,0.0,1.0,1.256544502617801,25.130890052356023,53.90575916230368,0.00021862149279580582,0,4,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
