policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,2,1,0,5,30.25243130623692,9.200314672213933,30.25243130623692,117.59216671340904,223.14190493330432,0.5828970331588132,0.5828970331588132,0.0,0.0,0.0,0.0,0,0,0.0,354.93804537521817,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,2,1,0,5,44.67949622650063,45.31667045453481,44.67949622650063,55.14190493330432,55.14190493330432,1.0,1.0,13.507853403141363,27.015706806282726,579.4869109947645,0.014060481973701919,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,2,1,0,5,45.31592612440143,45.31667045453481,45.31592612440143,55.14190493330432,55.14190493330432,1.0,1.0,0.9424083769633509,1.8848167539267018,40.42931937172775,1.6425084321334528e-05,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,2,1,0,14,45.90845580657163,45.90920415036827,45.90845580657163,46.0279836520169,46.0279836520169,1.0,1.0,0.9424083769633509,1.8848167539267018,40.42931937172775,1.6300517739119697e-05,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
