policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,11,1,1,5,46.28954731618115,31.57627638937714,46.28954731618115,235.94260954246724,316.21904933304313,0.0,0.17277486910994763,0.0,0.0,0.0,0.0,0,0,0.0,1955.0754072134962,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,11,1,1,5,102.38631139255928,103.95717896385864,102.38631139255928,173.41904933304315,173.41904933304315,0.0,1.0,13.507853403141363,148.58638743455498,579.4869109947646,0.01511071757579616,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,11,1,1,5,103.91349975317333,103.95717896385864,103.91349975317333,173.41904933304315,173.41904933304315,0.0,1.0,4.397905759162304,48.376963350785346,188.67015706806288,0.00042016540964915153,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,11,1,1,14,146.23762498353233,146.2551297642068,146.23762498353233,84.3957444746762,84.3957444746762,1.0,1.0,1.256544502617801,13.821989528795813,53.905759162303674,0.00011968660998553557,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
