policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
conveyor,6,4,0,5,81.8021853417919,84.99120979301316,327.2087413671676,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.13897111991153926,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,4,0,5,63.8747059349166,19.756628897140313,255.4988237396664,139.4275874937467,275.7095246665216,0.0,0.6633944153577661,1.7277486910994766,10.36649214659686,74.12041884816755,0.00011197441521116801,3936,2,0.0,546.2588168993601,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,4,0,12,82.51395350250044,20.31490809122836,330.05581401000177,86.5544167399559,231.19787223733812,0.8385689354275742,0.8147905759162304,2.6701570680628275,16.020942408376964,114.54973821989529,0.0001730513689627142,4104,2,0.0,398.4721131471786,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,4,0,12,96.35721561615064,96.38615990021734,385.4288624646025,63.19787223733811,63.1978722373381,1.0,1.0,4.633507853403142,27.80104712041885,198.77748691099478,0.00030029502261176875,0,2,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
