policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
conveyor,6,4,0,5,83.7565209556222,84.99120979301316,335.0260838224888,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.014527253352410471,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,4,0,5,68.7136615541721,19.756628897140313,274.8546462166884,131.92182833144304,275.7095246665216,0.0,0.7332024432809773,1.256544502617801,7.539267015706807,53.90575916230367,7.025591514919496e-05,0,6,0.0,438.88172629435724,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,4,0,12,95.94230382578576,96.38615990021734,383.769215303143,63.49106595461559,63.1978722373381,0.9969458987783595,0.9943280977312391,4.0837696335078535,24.502617801047123,175.1937172774869,0.00021229229383922101,0,2,0.0,4.1659394997091335,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,4,0,12,96.29726145608018,96.38615990021734,385.1890458243207,63.30965234205014,63.1978722373381,0.9989092495636999,0.9989092495636999,1.492146596858639,8.952879581151834,64.01308900523561,7.756833813356152e-05,0,2,0.0,1.7705242873763818,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
