policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,13,1,1,5,41.709522333725495,29.9468176075838,41.709522333725495,249.0918443187035,312.5609542663475,0.0,0.08202443280977312,0.0,0.0,0.0,0.0,0,0,0.0,2311.6798283885983,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,13,1,1,5,91.79257585247063,52.756445621701616,91.79257585247063,187.2939385595412,194.96095426634747,0.0,0.912739965095986,13.507853403141363,175.60209424083772,579.4869109947646,0.01534410326515044,0,1,0.0,41.65939499709133,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,13,1,1,5,97.0052375912637,97.15784334934328,97.0052375912637,186.56095426634747,186.56095426634747,0.0,1.0,13.821989528795813,179.68586387434556,592.9633507853406,0.0015706993158634444,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,13,1,1,14,136.00525703585336,136.02451501012186,136.00525703585336,92.45171177871,92.45171177871,1.0,1.0,1.256544502617801,16.335078534031414,53.90575916230368,0.00014157723162676526,0,3,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=14; planes_eclipse_free=0
