policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
conveyor,6,4,0,5,84.63790718647057,84.99120979301316,338.5516287458823,107.70952466652157,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947645,0.004156931139149738,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,4,0,5,68.69985940077046,19.756628897140313,274.79943760308186,131.95847754610273,275.7095246665216,0.0,0.7329842931937173,1.256544502617801,7.539267015706807,53.90575916230367,6.521096856949412e-05,0,6,0.0,439.50661721931357,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,4,0,12,95.94233925985289,96.38615990021734,383.76935703941155,63.49106595461559,63.1978722373381,0.9969458987783595,0.9943280977312391,4.0837696335078535,24.502617801047123,175.1937172774869,0.00021168503175092367,0,2,0.0,4.1659394997091335,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,4,0,12,96.2972784008036,96.38615990021734,385.1891136032144,63.30965234205014,63.1978722373381,0.9989092495636999,0.9989092495636999,1.492146596858639,8.952879581151834,64.01308900523561,7.734645390899135e-05,0,2,0.0,1.7705242873763818,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
