policy,n_stages,n_pipelines,memory_feasible,max_stages_under_slo,mean_throughput_tok_s,p05_throughput_tok_s,aggregate_throughput_tok_s,mean_tpot_ms,p99_tpot_ms,slo_attainment,p_all_stages_lit,migration_events_per_hour,stage_moves_per_hour,migrated_gb_per_hour,downtime_fraction,deadline_misses,peak_link_flows,colocation_rate,battery_wh_per_orbit,notes
static,6,3,0,5,53.33463792027293,19.756628897140313,160.0039137608188,153.99015293877287,275.7095246665216,0.0,0.4973821989528796,0.0,0.0,0.0,0.0,0,0,0.0,789.0289412449098,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
reactive_jit,6,3,0,5,60.4448301116494,46.55835377157941,181.33449033494824,131.48264857577115,149.7095246665216,0.0,1.0,11.30890052356021,67.85340314136126,1408.712041884817,0.06433215113105199,0,2,0.5660267597440373,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
llumnix_reactive,6,3,0,5,62.24506139471733,46.55835377157941,186.735184184152,131.72697667350238,149.7095246665216,0.0,1.0,5.654450261780105,33.92670157068063,242.5759162303665,0.0002977078550142347,0,4,0.5718440954043048,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
conveyor,6,3,0,5,83.75652095562218,84.99120979301316,251.26956286686652,107.70952466652156,107.70952466652157,0.0,1.0,13.507853403141363,81.04712041884817,579.4869109947643,0.014527253352410473,0,1,0.0,0.0,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph,6,3,0,5,73.88227049985609,19.756628897140313,221.64681149956826,124.49242169968039,275.7095246665216,0.0,0.8182082606166375,1.256544502617801,7.539267015706807,53.90575916230367,7.025591514919496e-05,0,6,0.0,303.55812487880553,min_stages_for_memory=10; max_stages_under_slo=5; INFEASIBLE: no split satisfies memory and the TPOT SLO at once; planes_eclipse_free=0
eph_compact,6,3,0,12,95.95368475077117,96.38615990021734,287.8610542523136,63.510612202434096,63.1978722373381,0.9962187318208261,0.9944735311227458,3.979057591623037,23.874345549738223,170.70157068062827,0.00020684890168949738,0,2,0.0,4.443668799689743,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
eph_freeness,6,3,0,12,96.31420167664179,96.38615990021734,288.9426050299254,63.29316019545329,63.1978722373381,0.9991273996509599,0.9991273996509599,1.361256544502618,8.167539267015707,58.3979057591623,7.076409794640701e-05,0,2,0.0,1.527511149893349,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
two_timescale,6,3,0,12,96.3364388589465,96.38615990021734,289.0093165768395,63.25162441883897,63.1978722373381,0.9994182664339732,0.9994182664339732,1.256544502617801,7.539267015706807,53.90575916230367,6.532070579668338e-05,0,2,0.0,0.8331878999418266,min_stages_for_memory=10; max_stages_under_slo=12; planes_eclipse_free=0
